name,cbb_url,nba_url
Jeff Withey,https://www.sports-reference.com/cbb/players/jeff-withey-1.html,https://www.basketball-reference.com/players/w/witheje01.html
Tyler Zeller,https://www.sports-reference.com/cbb/players/tyler-zeller-1.html,https://www.basketball-reference.com/players/z/zellety01.html
Justin Hamilton,https://www.sports-reference.com/cbb/players/justin-hamilton-2.html,https://www.basketball-reference.com/players/h/hamilju01.html
Kyle O'Quinn,https://www.sports-reference.com/cbb/players/kyle-oquinn-1.html,https://www.basketball-reference.com/players/o/oquinky01.html
Jason Smith,https://www.sports-reference.com/cbb/players/jason-smith-1.html,https://www.basketball-reference.com/players/s/smithja02.html
Andre Drummond,https://www.sports-reference.com/cbb/players/andre-drummond-1.html,https://www.basketball-reference.com/players/d/drumman01.html
Roy Hibbert,https://www.sports-reference.com/cbb/players/roy-hibbert-1.html,https://www.basketball-reference.com/players/h/hibbero01.html
Joakim Noah,https://www.sports-reference.com/cbb/players/joakim-noah-1.html,https://www.basketball-reference.com/players/n/noahjo01.html
Henry Ellenson,https://www.sports-reference.com/cbb/players/henry-ellenson-1.html,https://www.basketball-reference.com/players/e/ellenhe01.html
DeAndre Ayton,https://www.sports-reference.com/cbb/players/deandre-ayton-1.html,https://www.basketball-reference.com/players/a/aytonde01.html
